[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN]: actions: 257, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1): action: 26, observation: (1, 0, 0.0, 0.2511487728551902, 0.71487189149458, 1.298611360039865, 7.480219882041653, 12.042771878799476, 7.711449370178768, 6.8030287387516815, 0.7450134115475262, 18.29698426938661), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 190, observation: (1, 8.013060568451657, 0.5, 0.010757279061970881, 0.15255063833157234, 5.052527182187441, 0.754569122486155, 16.094883891894398, 17.939037653849997, 2.649158349934677, 14.707059736797227, 3.0435050582846976), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 156, observation: (0, 0.12735540974146536, 0.5, 0.09831680062992432, 0.661577898372288, 2.1769079327784744, 11.16579915650431, 3.4745408160670848, 0.10665717722274677, 4.106729822179849, 3.4321645087637997, 23.620489383487985), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 39, observation: (0, 7.079787307098637, 0.5, 0.6457860277916779, 0.44347527029123535, 3.799099977671489, 29.44009271839932, 2.9089199106775343, 10.728523295080734, 5.625106753962564, 15.767442073108073, 38.26869243342099), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 112, observation: (0, 12.32412419115757, 0.5, 0.06752767196784304, 0.9103477626254965, 13.94430907781538, 12.190213826931375, 17.57074214078193, 4.365649262130185, 5.812487291244963, 3.744788195547529, 3.24783133791024), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 251, observation: (0, 1.4620008949571643, 0.5, 0.07819353210240532, 0.3675163690071377, 8.520604827156387, 2.309697452667572, 4.286713325673764, 2.391707578990143, 27.386296985840566, 28.082678171471258, 1.2731484689901327), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 98, observation: (0, 0.12616477247645025, 0.4386647724764503, 0.36716033646480584, 0.7552298922043488, 19.14831376190335, 12.827804237345614, 0.2755656259084345, 15.344045540916449, 18.389856704534257, 0.9061712465380329, 10.959906987833701), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 59, observation: (0, 3.853111013012034, 0.5, 0.5337302436168726, 0.8197659895215903, 7.206497297991083, 12.087124278094784, 9.118905778466594, 3.5408186650666735, 0.69645538357585, 2.1362606461997897, 5.885361497064338), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 191, observation: (0, 2.79744113456349, 0.5, 0.5890755751661296, 0.9227204282170355, 3.728713529528984, 23.88014937602182, 7.826548986107714, 7.93532777761021, 1.6558091641484676, 31.738247658359647, 19.694128466971886), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 200, observation: (0, 16.77991067448996, 0.5, 0.3509506618582827, 0.6356160905227913, 10.597334153368333, 9.427129433360474, 4.845029627101237, 13.432727523764958, 0.1680378119947096, 2.1631553499491134, 22.02230123832047), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 237, observation: (0, 6.44437406232974, 0.5, 0.8556386554119416, 0.30401820881021235, 35.2093408598856, 1.6020926780794058, 14.393688267097831, 7.679604880991908, 8.542688261525488, 32.324116923300046, 13.459249219455803), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 71, observation: (0, 12.619601805810602, 0.5, 0.7580851066368891, 0.794777341051855, 9.528134751731386, 20.21821790387421, 13.422552760622501, 3.119881010918433, 13.622632666712327, 3.293918787870658, 0.9155914828435435), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2/2000): reward: -15.211481955833733, rho: 0.5, rates: 0.08942590220831334
[TRAIN]: (3): action: 176, observation: (1, 0, 0.0, 0.1419669520916409, 0.893709535492906, 10.387946725920877, 10.488027894629653, 13.03383922610547, 0.702684038789339, 4.135836025427857, 3.6208036475600776, 0.9602795111424333), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 202, observation: (1, 0.5690644967960814, 0.4128144967960814, 0.6504201010750064, 0.4300438351112381, 2.9667168347680666, 4.417285264366094, 9.161415145522469, 2.570403886788041, 8.970461065819645, 14.408375947439174, 3.295003401188747), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 62, observation: (1, 5.040451062410825, 0.5, 0.639785249227525, 0.8094950362250433, 5.800205578622556, 14.399152364845287, 6.026536270613837, 8.995609822977096, 4.644871158137934, 41.12008209996121, 1.5031544225341333), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 130, observation: (1, 12.533015510688283, 0.5, 0.09519605971772993, 0.5507257295808773, 19.795766174177068, 0.3422189641006504, 4.971351872727314, 1.4745606783951364, 4.073300140802371, 8.523051700444343, 1.2521542186463361), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 62, observation: (1, 0.44897615521748785, 0.5, 0.07526470955572717, 0.13872750401429867, 4.686294907344829, 4.705316210907093, 4.609047572399059, 0.8705570723515119, 3.156271718238129, 52.09833707148875, 26.107581312954032), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 62, observation: (1, 0.18192836876005278, 0.5, 0.6869689772226741, 0.2441157015166714, 1.1002360548126773, 7.668689079605708, 3.5808726663264547, 8.038110258144032, 3.7999959293692824, 21.707821932822604, 4.63304059089615), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 41, observation: (1, 6.820638901011917, 0.5, 0.36527646431974337, 0.7179707289664955, 11.969854679908101, 4.380419063353146, 45.09319379088854, 19.724820487787778, 25.912738214818635, 8.882408930280048, 2.5706910599584054), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 171, observation: (1, 0.8525594144382516, 0.5, 0.6165143306518988, 0.2519158604827737, 2.5173908253098523, 3.467187502410145, 0.9907761255195341, 28.816993672898022, 12.236266119342618, 0.35974792273250833, 34.47555355930663), rho: 0.5, reward: 0.23373864591121674 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 200, observation: (1, 0.2672096785346952, 0.5, 0.7575729458232465, 0.5699735988973784, 2.6029502706260264, 3.4963663805912497, 0.6262885388472585, 6.317961973698129, 11.009883973410572, 0.5816727600188133, 9.198049442652124), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 108, observation: (1, 2.6418907033802266, 0.5, 0.3200934028750735, 0.7484743197417314, 0.8093318051443288, 7.197511803799791, 6.823066053081953, 1.0010366044469605, 12.787598810451188, 2.4653198675711674, 5.82449619299012), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 53, observation: (0, 2.0812082907495797, 0.5, 0.303310276856506, 0.16083744934684074, 8.020841328422398, 4.82176096498425, 0.37861011529612587, 6.392033577488866, 20.423626267482604, 11.185666539227341, 3.396530141434748), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 12, observation: (0, 0.10887589565992667, 0.4057508956599267, 0.5954938291819323, 0.8329974157500478, 7.230732965738884, 11.636156732789654, 18.365574721584135, 1.9621077079210152, 11.171868300115706, 6.073147178566334, 4.750779268175202), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 240, observation: (0, 3.56206753437675, 0.5, 0.053151649845669224, 0.9057480673417759, 8.911325742131812, 7.965796995772089, 11.565674065315878, 5.425365250077502, 19.006257921759534, 14.7559313541576, 10.609200952582212), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 22, observation: (0, 4.427167528574202, 0.5, 0.13266556276357844, 0.4110126086927671, 26.67372960616095, 10.85951989187738, 2.731714184168865, 15.696926861145592, 4.864055118219699, 8.113779750205278, 8.533887588006762), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 254, observation: (0, 1.7047550260763078, 0.5, 0.4766510657038425, 0.8660241840648196, 3.94602314254805, 3.6800339497793733, 6.9713386304802825, 4.239611384245516, 22.665657908460734, 28.818029062339964, 5.364971591882309), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 148, observation: (0, 8.321841370039106, 0.5, 0.6865455657156669, 0.5449055294381847, 17.64476605422583, 0.667430882552156, 21.160722098672867, 4.792355103148961, 6.003644288081454, 7.141730065708812, 3.7222771305279996), rho: 0.5, reward: 6.714505672454834 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 183, observation: (0, 3.3162800073347, 0.5, 0.1273790066074052, 0.036339340738181236, 3.4536617872777953, 17.775720308661015, 22.680207280025808, 21.166693418094017, 52.40224865175081, 35.702039197427226, 32.89371955356923), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 234, observation: (0, 0.09750560244707812, 0.09750560244707818, 0.9946768797239877, 0.399533012276852, 15.370832049733298, 14.599335545796219, 4.55480764186259, 13.979819801830576, 15.132069042507464, 15.418729017878745, 23.791022253140838), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 72, observation: (0, 7.0207912941123025, 0.5, 0.2456698170197381, 0.5982746586465675, 2.755498752646428, 31.480586615287148, 7.667415648454994, 11.928608777622467, 6.032247026650511, 4.782877007709924, 3.566451627194418), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 191, observation: (0, 1.1223296863815486, 0.5, 0.7750577700684251, 0.8158202473818627, 4.524633239454659, 9.916082845876952, 0.05650490194430264, 0.11167484897156611, 3.8776814285000123, 9.892051085636865, 25.70812005006292), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3/2000): reward: -11.05175568163395, rho: 0.5, rates: 0.3474122159183025
[TRAIN]: (4): action: 137, observation: (1, 0, 0.0, 0.1374079217265456, 0.013704599407606488, 3.3002567990940546, 0.18733401936728622, 10.193276978867697, 0.44193420323983296, 3.4057065883562823, 4.212937874088538, 2.158249154902412), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 247, observation: (1, 0.1243726428341176, -0.2818773571658824, 0.12451550562312497, 0.15475153821344045, 1.0786999787785005, 26.463925032031103, 8.79767022818479, 47.485094556662155, 0.05019370441018828, 15.915985226450545, 19.61872722608168), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 244, observation: (1, 0.013910855674592493, -0.68984150149129, 0.5270433987411819, 0.3406272157357296, 7.822645440410692, 1.51480950388157, 0.10898878531139634, 19.635965893626942, 0.534445641468301, 6.574346130018639, 10.807823067576766), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 214, observation: (1, 1.6549614494528406, 0.5, 0.8887102496334413, 0.25217541257062803, 5.995548816790691, 29.957932455806954, 1.3778540566740405, 20.09081811475665, 17.83142641335102, 28.34525530025749, 2.6291752152062338), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 251, observation: (1, 11.40705960615456, 0.5, 0.1902239047580162, 0.7909286444459552, 0.42666275092197786, 3.0193379501123765, 12.54736389096475, 2.5429218532742275, 2.2465406683849594, 3.9203964871406667, 6.988509102219178), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 151, observation: (1, 2.5888153848365176, 0.5, 0.6653853444831448, 0.8008271182702003, 14.549488595900558, 8.974311598412472, 39.80883786307299, 0.27965964475497085, 1.7977926850087165, 12.575053557220357, 33.67033440052159), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 202, observation: (1, 16.056006614515347, 0.5, 0.5218554114429136, 0.5885432362648431, 4.178561153040147, 1.043381972424573, 8.084260132980244, 5.690067548602904, 5.939094035405523, 6.194480726727658, 0.21006136705168102), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 118, observation: (1, 1.5908140029829863, 0.5, 0.8044606556565854, 0.4909292638906011, 29.19057164772073, 0.39392686147258327, 9.612480396767623, 5.113121115117822, 1.0473844351427262, 3.0878365502295697, 1.4805742860504443), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 80, observation: (1, 1.53948341454416, 0.5, 0.7245062313387582, 0.02412193972130494, 12.826209180243017, 8.650849994375868, 0.4473011395847207, 1.6796983232075346, 3.2982765434510175, 7.246141685432521, 13.061108324715692), rho: 0.5, reward: 3.5913729667663574 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 250, observation: (1, 2.479991444346356, 0.5, 0.19297335021468964, 0.4102660391926296, 1.8020647465529838, 9.1551731716765, 14.26647670641437, 6.131804358145384, 25.85347047902095, 5.487016214116905, 40.31324784948794), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 132, observation: (0, 7.542550085012789, 0.5, 0.09852575829406174, 0.029701965092026494, 6.252026752195622, 10.418946261046445, 3.8918684665110845, 9.23974287056718, 6.694415746270566, 0.24386884814712245, 4.80534170296351), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 218, observation: (0, 0.1434580442491704, 0.2684580442491704, 0.012965411922996162, 0.3042521657518372, 12.040003868276221, 11.223011379961187, 2.4512514458924897, 0.5154738851101781, 12.313603866465282, 1.2372809946928311, 3.3889144055823976), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 43, observation: (0, 0.09406035984613022, 0.15939340409530062, 0.8153157926014548, 0.3714940967334843, 52.08527996845628, 8.849012002787319, 1.0768691746988837, 2.188409040485573, 3.6207064008464895, 0.9637302883098824, 0.03554169179899425), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 49, observation: (0, 0.48902684519905926, 0.4765452492943598, 0.5910210581919147, 0.4290423741785514, 23.46150653464592, 1.8899376860021977, 0.20986300701090868, 4.2702405232818075, 4.756896144009004, 8.17079742754235, 7.493396561153683), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 36, observation: (0, 3.6760283422564908, 0.5, 0.5350381272818344, 0.31503529176652034, 5.929532883566072, 9.336704996785292, 7.449774918789874, 5.601252265762331, 2.72599565020402, 15.717235218624827, 0.6903817821706472), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 182, observation: (0, 3.983576626861702, 0.5, 0.759538907771961, 0.8134058779924642, 7.365369211669506, 17.026256604721468, 10.057280241969718, 13.977409558792665, 3.811679996727273, 4.448658978083441, 8.778490211874118), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 90, observation: (0, 4.827464197973687, 0.5, 0.7263884817108196, 0.21580627711790157, 23.45044926619062, 2.5369118369325667, 2.7023514189470332, 1.352573703701404, 1.8382626288121346, 0.6878852804764429, 1.4759759731011894), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 75, observation: (0, 0.29856868115096985, 0.4079436811509698, 0.5958503606850233, 0.6150768428226172, 8.890682107175587, 26.449141887906347, 3.9514886569281926, 13.06183725917204, 3.3808910535663212, 1.0705633726185635, 7.70280464898406), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 213, observation: (0, 2.6170968590562, 0.5, 0.8787929818101949, 0.238078003014645, 24.59017455773153, 3.1066224973530234, 2.0013520498853996, 15.204945491577082, 18.965318541133257, 10.750671452856679, 12.98878093034332), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4): action: 34, observation: (0, 4.421894575823697, 0.5, 0.6471625703190672, 0.58678986479604, 0.7621753891593634, 2.2452693777401835, 39.71763954677933, 14.717088593036006, 0.0033152869152451715, 2.881567130089672, 8.262104603145499), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (4/2000): reward: -15.408627033233643, rho: 0.5, rates: 0.17956864833831787
[TRAIN]: (5): action: 44, observation: (1, 0, 0.0, 0.4458691838898312, 0.30093600810037224, 1.2269653431852632, 9.43543664992784, 1.1905934990554599, 4.195369514545226, 11.774951218672529, 13.719000484782375, 11.065274218730272), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (5): action: 19, observation: (1, 2.8711545851305296, 0.5, 0.012001908876643097, 0.8856209885209925, 3.935704319863485, 9.060557230396233, 58.86393050225099, 9.186117592365552, 3.950661025795799, 7.272553132052877, 30.681806173508196), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (5): action: 65, observation: (1, 12.260033104956541, 0.5, 0.9861526849039792, 0.5412726938695365, 13.913921665844969, 5.3163689700774865, 6.440383182580151, 13.803263894723637, 3.886625088199567, 3.052991508026217, 4.474259230328838), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (5): action: 151, observation: (1, 2.59291656123963, 0.5, 0.5607760126350607, 0.6569884124507752, 27.99974885735969, 1.1047461913526573, 5.1430911252097955, 0.2845426840713464, 3.475134177150415, 10.492127428167944, 4.1177396396255785), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
